CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,1,77183.6,3,At-Risk
12347.0,2,7,4310.0,0,Regular
12348.0,75,4,1797.24,0,Occasional
12349.0,19,1,1757.55,0,Occasional
12350.0,310,1,334.40000000000003,1,At-Risk
12352.0,36,8,2506.04,0,Regular
12353.0,204,1,89.0,1,At-Risk
12354.0,232,1,1079.4,1,At-Risk
12355.0,214,1,459.40000000000003,1,At-Risk
12356.0,23,3,2811.43,0,Occasional
12357.0,33,1,6207.67,0,Occasional
12358.0,2,2,1168.06,0,Occasional
12359.0,58,4,6372.58,0,Occasional
12360.0,52,3,2662.06,0,Occasional
12361.0,287,1,189.9,1,At-Risk
12362.0,3,10,5226.2300000000005,0,Regular
12363.0,110,2,552.0,0,Occasional
12364.0,8,4,1313.1,0,Occasional
12365.0,291,2,641.38,1,Occasional
12367.0,4,1,168.9,0,Occasional
12370.0,51,4,3545.69,0,Occasional
12371.0,45,2,1887.96,0,Occasional
12372.0,72,3,1298.04,0,Occasional
12373.0,311,1,364.6,1,At-Risk
12374.0,25,1,742.9300000000001,0,Occasional
12375.0,11,2,457.5,0,Occasional
12377.0,315,2,1628.1200000000001,1,Occasional
12378.0,130,1,4008.62,0,Occasional
12379.0,82,2,852.24,0,Occasional
12380.0,22,4,2724.81,0,Occasional
12381.0,5,5,1845.31,0,Regular
12383.0,185,5,1850.56,1,Occasional
12384.0,29,2,585.27,0,Occasional
12386.0,338,2,401.9,1,Occasional
12388.0,16,6,2780.6600000000003,0,Regular
12390.0,80,1,549.84,0,Occasional
12391.0,22,1,460.89,0,Occasional
12393.0,72,4,1582.6000000000001,0,Occasional
12394.0,64,2,1272.48,0,Occasional
12395.0,19,12,3018.63,0,High-Value
12397.0,36,2,2409.9,0,Occasional
12398.0,46,1,1635.6599999999999,0,Occasional
12399.0,119,4,1108.65,0,Occasional
12401.0,303,1,84.3,1,At-Risk
12402.0,323,1,225.60000000000002,1,At-Risk
12403.0,50,1,427.7,0,Occasional
12405.0,149,1,1710.39,1,Occasional
12406.0,22,2,3415.3,0,Occasional
12407.0,50,5,1708.12,0,Regular
12408.0,33,5,2888.55,0,Regular
12409.0,79,3,11072.67,0,Occasional
12410.0,309,2,693.33,1,Occasional
12412.0,75,3,1226.88,0,Occasional
12413.0,67,3,758.1,0,Occasional
12414.0,217,3,562.4100000000001,1,Occasional
12415.0,24,21,124914.53,2,High-Value
12417.0,3,9,3649.1,0,Regular
12418.0,113,1,668.58,0,Occasional
12420.0,64,1,600.39,0,Occasional
12421.0,16,4,807.04,0,Occasional
12422.0,96,3,803.5600000000001,0,Occasional
12423.0,1,8,1859.31,0,Regular
12424.0,163,2,1760.96,1,Occasional
12425.0,78,1,777.2,0,Occasional
12426.0,195,1,582.73,1,At-Risk
12427.0,22,3,825.8000000000001,0,Occasional
12428.0,26,9,7956.46,0,Regular
12429.0,9,4,3750.4,0,Occasional
12430.0,43,1,256.4,0,Occasional
12431.0,36,15,6487.45,3,High-Value
12432.0,43,5,5059.32,0,Regular
12433.0,1,7,13375.87,0,Regular
12434.0,85,2,806.14,0,Occasional
12435.0,80,2,7829.89,0,Occasional
12436.0,100,1,509.01,0,Occasional
12437.0,2,18,4951.41,3,High-Value
12438.0,14,2,2906.85,0,Occasional
12441.0,367,1,173.55,1,At-Risk
12442.0,3,1,172.06,0,Occasional
12444.0,21,5,5005.46,0,Regular
12445.0,22,1,133.4,0,Occasional
12446.0,58,1,1002.3100000000001,0,Occasional
12447.0,243,1,476.49,1,At-Risk
12448.0,44,1,449.45,0,Occasional
12449.0,22,4,4067.29,0,Occasional
12450.0,156,2,197.88,1,Occasional
12451.0,11,5,9035.52,0,Regular
12452.0,17,2,430.57000000000005,0,Occasional
12453.0,134,1,707.09,0,Occasional
